time,V_Load_1,V_Load_2
0.000E0sec,0.000E0V,0.000E0V
1.000E-11sec,0.000E0V,0.000E0V
2.000E-11sec,0.000E0V,0.000E0V
5.000E-11sec,0.000E0V,0.000E0V
1.400E-10sec,0.000E0V,0.000E0V
4.100E-10sec,0.000E0V,0.000E0V
1.220E-9sec,0.000E0V,0.000E0V
2.220E-9sec,0.000E0V,0.000E0V
3.220E-9sec,0.000E0V,0.000E0V
4.220E-9sec,0.000E0V,0.000E0V
5.220E-9sec,0.000E0V,0.000E0V
6.220E-9sec,0.000E0V,0.000E0V
7.220E-9sec,0.000E0V,0.000E0V
8.220E-9sec,0.000E0V,0.000E0V
9.220E-9sec,0.000E0V,0.000E0V
1.022E-8sec,0.000E0V,0.000E0V
1.122E-8sec,0.000E0V,0.000E0V
1.222E-8sec,0.000E0V,0.000E0V
1.322E-8sec,0.000E0V,0.000E0V
1.422E-8sec,0.000E0V,0.000E0V
1.522E-8sec,0.000E0V,0.000E0V
1.622E-8sec,0.000E0V,0.000E0V
1.722E-8sec,0.000E0V,0.000E0V
1.822E-8sec,0.000E0V,0.000E0V
1.922E-8sec,0.000E0V,0.000E0V
2.022E-8sec,0.000E0V,0.000E0V
2.122E-8sec,0.000E0V,0.000E0V
2.222E-8sec,0.000E0V,0.000E0V
2.322E-8sec,0.000E0V,0.000E0V
2.422E-8sec,0.000E0V,0.000E0V
2.522E-8sec,0.000E0V,0.000E0V
2.622E-8sec,0.000E0V,0.000E0V
2.722E-8sec,0.000E0V,0.000E0V
2.822E-8sec,0.000E0V,0.000E0V
2.922E-8sec,0.000E0V,0.000E0V
3.022E-8sec,0.000E0V,0.000E0V
3.122E-8sec,0.000E0V,0.000E0V
3.222E-8sec,0.000E0V,0.000E0V
3.322E-8sec,0.000E0V,0.000E0V
3.422E-8sec,0.000E0V,0.000E0V
3.522E-8sec,0.000E0V,0.000E0V
3.622E-8sec,0.000E0V,0.000E0V
3.722E-8sec,0.000E0V,0.000E0V
3.822E-8sec,0.000E0V,0.000E0V
3.922E-8sec,0.000E0V,0.000E0V
4.022E-8sec,0.000E0V,0.000E0V
4.122E-8sec,0.000E0V,0.000E0V
4.222E-8sec,0.000E0V,0.000E0V
4.322E-8sec,0.000E0V,0.000E0V
4.422E-8sec,0.000E0V,0.000E0V
4.522E-8sec,0.000E0V,0.000E0V
4.622E-8sec,0.000E0V,0.000E0V
4.722E-8sec,0.000E0V,0.000E0V
4.822E-8sec,0.000E0V,0.000E0V
4.922E-8sec,0.000E0V,0.000E0V
5.022E-8sec,0.000E0V,0.000E0V
5.122E-8sec,0.000E0V,0.000E0V
5.222E-8sec,0.000E0V,0.000E0V
5.322E-8sec,0.000E0V,0.000E0V
5.422E-8sec,0.000E0V,0.000E0V
5.522E-8sec,0.000E0V,0.000E0V
5.622E-8sec,0.000E0V,0.000E0V
5.722E-8sec,0.000E0V,0.000E0V
5.822E-8sec,0.000E0V,0.000E0V
5.922E-8sec,0.000E0V,0.000E0V
6.022E-8sec,0.000E0V,0.000E0V
6.122E-8sec,0.000E0V,0.000E0V
6.222E-8sec,0.000E0V,0.000E0V
6.322E-8sec,0.000E0V,0.000E0V
6.422E-8sec,0.000E0V,0.000E0V
6.522E-8sec,0.000E0V,0.000E0V
6.622E-8sec,0.000E0V,0.000E0V
6.722E-8sec,0.000E0V,0.000E0V
6.822E-8sec,0.000E0V,0.000E0V
6.922E-8sec,0.000E0V,0.000E0V
7.022E-8sec,0.000E0V,0.000E0V
7.122E-8sec,0.000E0V,0.000E0V
7.222E-8sec,0.000E0V,0.000E0V
7.322E-8sec,0.000E0V,0.000E0V
7.422E-8sec,0.000E0V,0.000E0V
7.522E-8sec,0.000E0V,0.000E0V
7.622E-8sec,0.000E0V,0.000E0V
7.722E-8sec,0.000E0V,0.000E0V
7.822E-8sec,0.000E0V,0.000E0V
7.922E-8sec,0.000E0V,0.000E0V
8.022E-8sec,0.000E0V,0.000E0V
8.122E-8sec,0.000E0V,0.000E0V
8.222E-8sec,0.000E0V,0.000E0V
8.322E-8sec,0.000E0V,0.000E0V
8.422E-8sec,0.000E0V,0.000E0V
8.522E-8sec,0.000E0V,0.000E0V
8.622E-8sec,0.000E0V,0.000E0V
8.722E-8sec,0.000E0V,0.000E0V
8.822E-8sec,0.000E0V,0.000E0V
8.922E-8sec,0.000E0V,0.000E0V
9.022E-8sec,0.000E0V,0.000E0V
9.122E-8sec,0.000E0V,0.000E0V
9.222E-8sec,0.000E0V,0.000E0V
9.322E-8sec,0.000E0V,0.000E0V
9.422E-8sec,0.000E0V,0.000E0V
9.522E-8sec,0.000E0V,0.000E0V
9.622E-8sec,0.000E0V,0.000E0V
9.722E-8sec,0.000E0V,0.000E0V
9.822E-8sec,0.000E0V,0.000E0V
9.922E-8sec,0.000E0V,0.000E0V
1.000E-7sec,0.000E0V,0.000E0V
1.001E-7sec,0.000E0V,0.000E0V
1.004E-7sec,0.000E0V,0.000E0V
1.013E-7sec,0.000E0V,0.000E0V
1.023E-7sec,0.000E0V,0.000E0V
1.033E-7sec,0.000E0V,0.000E0V
1.043E-7sec,0.000E0V,0.000E0V
1.053E-7sec,0.000E0V,0.000E0V
1.063E-7sec,0.000E0V,0.000E0V
1.073E-7sec,0.000E0V,0.000E0V
1.083E-7sec,0.000E0V,0.000E0V
1.093E-7sec,0.000E0V,0.000E0V
1.103E-7sec,0.000E0V,0.000E0V
1.113E-7sec,0.000E0V,0.000E0V
1.123E-7sec,0.000E0V,0.000E0V
1.133E-7sec,0.000E0V,0.000E0V
1.143E-7sec,0.000E0V,0.000E0V
1.153E-7sec,0.000E0V,0.000E0V
1.163E-7sec,0.000E0V,0.000E0V
1.173E-7sec,0.000E0V,0.000E0V
1.183E-7sec,0.000E0V,0.000E0V
1.193E-7sec,0.000E0V,0.000E0V
1.203E-7sec,0.000E0V,0.000E0V
1.213E-7sec,0.000E0V,0.000E0V
1.223E-7sec,0.000E0V,0.000E0V
1.233E-7sec,0.000E0V,0.000E0V
1.243E-7sec,0.000E0V,0.000E0V
1.253E-7sec,0.000E0V,0.000E0V
1.263E-7sec,0.000E0V,0.000E0V
1.273E-7sec,0.000E0V,0.000E0V
1.283E-7sec,0.000E0V,0.000E0V
1.293E-7sec,0.000E0V,0.000E0V
1.303E-7sec,0.000E0V,0.000E0V
1.313E-7sec,0.000E0V,0.000E0V
1.323E-7sec,0.000E0V,0.000E0V
1.333E-7sec,0.000E0V,0.000E0V
1.343E-7sec,0.000E0V,0.000E0V
1.353E-7sec,0.000E0V,0.000E0V
1.363E-7sec,0.000E0V,0.000E0V
1.373E-7sec,0.000E0V,0.000E0V
1.383E-7sec,0.000E0V,0.000E0V
1.393E-7sec,0.000E0V,0.000E0V
1.403E-7sec,0.000E0V,0.000E0V
1.413E-7sec,0.000E0V,0.000E0V
1.423E-7sec,0.000E0V,0.000E0V
1.433E-7sec,0.000E0V,0.000E0V
1.443E-7sec,0.000E0V,0.000E0V
1.453E-7sec,0.000E0V,0.000E0V
1.463E-7sec,0.000E0V,0.000E0V
1.473E-7sec,0.000E0V,0.000E0V
1.483E-7sec,0.000E0V,0.000E0V
1.493E-7sec,0.000E0V,0.000E0V
1.503E-7sec,0.000E0V,0.000E0V
1.513E-7sec,0.000E0V,0.000E0V
1.523E-7sec,0.000E0V,0.000E0V
1.533E-7sec,0.000E0V,0.000E0V
1.543E-7sec,0.000E0V,0.000E0V
1.553E-7sec,0.000E0V,0.000E0V
1.563E-7sec,0.000E0V,0.000E0V
1.573E-7sec,0.000E0V,0.000E0V
1.583E-7sec,0.000E0V,0.000E0V
1.593E-7sec,0.000E0V,0.000E0V
1.603E-7sec,0.000E0V,0.000E0V
1.613E-7sec,0.000E0V,0.000E0V
1.623E-7sec,0.000E0V,0.000E0V
1.633E-7sec,0.000E0V,0.000E0V
1.643E-7sec,0.000E0V,0.000E0V
1.653E-7sec,0.000E0V,0.000E0V
1.663E-7sec,0.000E0V,0.000E0V
1.673E-7sec,0.000E0V,0.000E0V
1.683E-7sec,0.000E0V,0.000E0V
1.693E-7sec,0.000E0V,0.000E0V
1.703E-7sec,0.000E0V,0.000E0V
1.713E-7sec,0.000E0V,0.000E0V
1.723E-7sec,0.000E0V,0.000E0V
1.733E-7sec,0.000E0V,0.000E0V
1.743E-7sec,0.000E0V,0.000E0V
1.753E-7sec,0.000E0V,0.000E0V
1.763E-7sec,0.000E0V,0.000E0V
1.773E-7sec,0.000E0V,0.000E0V
1.783E-7sec,0.000E0V,0.000E0V
1.793E-7sec,0.000E0V,0.000E0V
1.803E-7sec,0.000E0V,0.000E0V
1.813E-7sec,0.000E0V,0.000E0V
1.823E-7sec,0.000E0V,0.000E0V
1.833E-7sec,0.000E0V,0.000E0V
1.843E-7sec,0.000E0V,0.000E0V
1.853E-7sec,0.000E0V,0.000E0V
1.863E-7sec,0.000E0V,0.000E0V
1.873E-7sec,0.000E0V,0.000E0V
1.883E-7sec,0.000E0V,0.000E0V
1.893E-7sec,0.000E0V,0.000E0V
1.903E-7sec,0.000E0V,0.000E0V
1.913E-7sec,0.000E0V,0.000E0V
1.923E-7sec,0.000E0V,0.000E0V
1.933E-7sec,0.000E0V,0.000E0V
1.943E-7sec,0.000E0V,0.000E0V
1.953E-7sec,0.000E0V,0.000E0V
1.963E-7sec,0.000E0V,0.000E0V
1.973E-7sec,0.000E0V,0.000E0V
1.983E-7sec,0.000E0V,0.000E0V
1.993E-7sec,0.000E0V,0.000E0V
2.003E-7sec,0.000E0V,0.000E0V
2.013E-7sec,0.000E0V,0.000E0V
2.023E-7sec,0.000E0V,0.000E0V
2.033E-7sec,0.000E0V,0.000E0V
2.043E-7sec,0.000E0V,0.000E0V
2.053E-7sec,0.000E0V,0.000E0V
2.063E-7sec,0.000E0V,0.000E0V
2.073E-7sec,0.000E0V,0.000E0V
2.083E-7sec,0.000E0V,0.000E0V
2.093E-7sec,0.000E0V,0.000E0V
2.103E-7sec,0.000E0V,0.000E0V
2.113E-7sec,0.000E0V,0.000E0V
2.123E-7sec,0.000E0V,0.000E0V
2.133E-7sec,0.000E0V,0.000E0V
2.143E-7sec,0.000E0V,0.000E0V
2.153E-7sec,0.000E0V,0.000E0V
2.163E-7sec,0.000E0V,0.000E0V
2.173E-7sec,0.000E0V,0.000E0V
2.183E-7sec,0.000E0V,0.000E0V
2.193E-7sec,0.000E0V,0.000E0V
2.203E-7sec,0.000E0V,0.000E0V
2.213E-7sec,0.000E0V,0.000E0V
2.223E-7sec,0.000E0V,0.000E0V
2.233E-7sec,0.000E0V,0.000E0V
2.243E-7sec,0.000E0V,0.000E0V
2.253E-7sec,0.000E0V,0.000E0V
2.263E-7sec,0.000E0V,0.000E0V
2.273E-7sec,0.000E0V,0.000E0V
2.283E-7sec,0.000E0V,0.000E0V
2.293E-7sec,0.000E0V,0.000E0V
2.303E-7sec,0.000E0V,0.000E0V
2.313E-7sec,0.000E0V,0.000E0V
2.323E-7sec,0.000E0V,0.000E0V
2.333E-7sec,0.000E0V,0.000E0V
2.343E-7sec,0.000E0V,0.000E0V
2.353E-7sec,0.000E0V,0.000E0V
2.363E-7sec,0.000E0V,0.000E0V
2.373E-7sec,0.000E0V,0.000E0V
2.383E-7sec,0.000E0V,0.000E0V
2.393E-7sec,0.000E0V,0.000E0V
2.403E-7sec,0.000E0V,0.000E0V
2.413E-7sec,0.000E0V,0.000E0V
2.423E-7sec,0.000E0V,0.000E0V
2.433E-7sec,0.000E0V,0.000E0V
2.443E-7sec,0.000E0V,0.000E0V
2.453E-7sec,0.000E0V,0.000E0V
2.463E-7sec,0.000E0V,0.000E0V
2.473E-7sec,0.000E0V,0.000E0V
2.483E-7sec,0.000E0V,0.000E0V
2.493E-7sec,0.000E0V,0.000E0V
2.503E-7sec,0.000E0V,0.000E0V
2.513E-7sec,0.000E0V,0.000E0V
2.523E-7sec,0.000E0V,0.000E0V
2.533E-7sec,0.000E0V,0.000E0V
2.543E-7sec,0.000E0V,0.000E0V
2.553E-7sec,0.000E0V,0.000E0V
2.563E-7sec,0.000E0V,0.000E0V
2.573E-7sec,0.000E0V,0.000E0V
2.583E-7sec,0.000E0V,0.000E0V
2.593E-7sec,0.000E0V,0.000E0V
2.603E-7sec,0.000E0V,0.000E0V
2.613E-7sec,0.000E0V,0.000E0V
2.623E-7sec,0.000E0V,0.000E0V
2.633E-7sec,0.000E0V,0.000E0V
2.643E-7sec,0.000E0V,0.000E0V
2.653E-7sec,0.000E0V,0.000E0V
2.663E-7sec,0.000E0V,0.000E0V
2.673E-7sec,0.000E0V,0.000E0V
2.683E-7sec,0.000E0V,0.000E0V
2.693E-7sec,0.000E0V,0.000E0V
2.703E-7sec,0.000E0V,0.000E0V
2.713E-7sec,0.000E0V,0.000E0V
2.723E-7sec,0.000E0V,0.000E0V
2.733E-7sec,0.000E0V,0.000E0V
2.743E-7sec,0.000E0V,0.000E0V
2.753E-7sec,0.000E0V,0.000E0V
2.763E-7sec,0.000E0V,0.000E0V
2.773E-7sec,0.000E0V,0.000E0V
2.783E-7sec,0.000E0V,0.000E0V
2.793E-7sec,0.000E0V,0.000E0V
2.803E-7sec,0.000E0V,0.000E0V
2.813E-7sec,0.000E0V,0.000E0V
2.823E-7sec,0.000E0V,0.000E0V
2.833E-7sec,0.000E0V,0.000E0V
2.843E-7sec,0.000E0V,0.000E0V
2.853E-7sec,0.000E0V,0.000E0V
2.863E-7sec,0.000E0V,0.000E0V
2.873E-7sec,0.000E0V,0.000E0V
2.883E-7sec,0.000E0V,0.000E0V
2.893E-7sec,0.000E0V,0.000E0V
2.903E-7sec,0.000E0V,0.000E0V
2.913E-7sec,0.000E0V,0.000E0V
2.923E-7sec,0.000E0V,0.000E0V
2.933E-7sec,0.000E0V,0.000E0V
2.943E-7sec,0.000E0V,0.000E0V
2.953E-7sec,0.000E0V,0.000E0V
2.963E-7sec,0.000E0V,0.000E0V
2.973E-7sec,0.000E0V,0.000E0V
2.983E-7sec,0.000E0V,0.000E0V
2.993E-7sec,0.000E0V,0.000E0V
3.003E-7sec,0.000E0V,0.000E0V
3.013E-7sec,0.000E0V,0.000E0V
3.023E-7sec,0.000E0V,0.000E0V
3.033E-7sec,0.000E0V,0.000E0V
3.043E-7sec,0.000E0V,0.000E0V
3.053E-7sec,0.000E0V,0.000E0V
3.063E-7sec,0.000E0V,0.000E0V
3.073E-7sec,0.000E0V,0.000E0V
3.083E-7sec,0.000E0V,0.000E0V
3.093E-7sec,0.000E0V,0.000E0V
3.103E-7sec,0.000E0V,0.000E0V
3.113E-7sec,0.000E0V,0.000E0V
3.123E-7sec,0.000E0V,0.000E0V
3.133E-7sec,0.000E0V,0.000E0V
3.143E-7sec,0.000E0V,0.000E0V
3.153E-7sec,0.000E0V,0.000E0V
3.163E-7sec,0.000E0V,0.000E0V
3.173E-7sec,0.000E0V,0.000E0V
3.183E-7sec,0.000E0V,0.000E0V
3.193E-7sec,0.000E0V,0.000E0V
3.203E-7sec,0.000E0V,0.000E0V
3.213E-7sec,0.000E0V,0.000E0V
3.223E-7sec,0.000E0V,0.000E0V
3.233E-7sec,0.000E0V,0.000E0V
3.243E-7sec,0.000E0V,0.000E0V
3.253E-7sec,0.000E0V,0.000E0V
3.263E-7sec,0.000E0V,0.000E0V
3.273E-7sec,0.000E0V,0.000E0V
3.283E-7sec,0.000E0V,0.000E0V
3.293E-7sec,0.000E0V,0.000E0V
3.303E-7sec,0.000E0V,0.000E0V
3.313E-7sec,0.000E0V,0.000E0V
3.323E-7sec,0.000E0V,0.000E0V
3.333E-7sec,0.000E0V,0.000E0V
3.343E-7sec,0.000E0V,0.000E0V
3.353E-7sec,0.000E0V,0.000E0V
3.363E-7sec,0.000E0V,0.000E0V
3.373E-7sec,0.000E0V,0.000E0V
3.383E-7sec,0.000E0V,0.000E0V
3.393E-7sec,0.000E0V,0.000E0V
3.403E-7sec,0.000E0V,0.000E0V
3.413E-7sec,0.000E0V,0.000E0V
3.423E-7sec,0.000E0V,0.000E0V
3.433E-7sec,0.000E0V,0.000E0V
3.443E-7sec,0.000E0V,0.000E0V
3.453E-7sec,0.000E0V,0.000E0V
3.463E-7sec,0.000E0V,0.000E0V
3.473E-7sec,0.000E0V,0.000E0V
3.483E-7sec,0.000E0V,0.000E0V
3.493E-7sec,0.000E0V,0.000E0V
3.503E-7sec,0.000E0V,0.000E0V
3.513E-7sec,0.000E0V,0.000E0V
3.523E-7sec,0.000E0V,0.000E0V
3.533E-7sec,0.000E0V,0.000E0V
3.543E-7sec,0.000E0V,0.000E0V
3.553E-7sec,0.000E0V,0.000E0V
3.563E-7sec,0.000E0V,0.000E0V
3.573E-7sec,0.000E0V,0.000E0V
3.583E-7sec,0.000E0V,0.000E0V
3.593E-7sec,0.000E0V,0.000E0V
3.603E-7sec,0.000E0V,0.000E0V
3.613E-7sec,0.000E0V,0.000E0V
3.623E-7sec,0.000E0V,0.000E0V
3.633E-7sec,0.000E0V,0.000E0V
3.643E-7sec,0.000E0V,0.000E0V
3.653E-7sec,0.000E0V,0.000E0V
3.663E-7sec,0.000E0V,0.000E0V
3.673E-7sec,0.000E0V,0.000E0V
3.683E-7sec,0.000E0V,0.000E0V
3.693E-7sec,0.000E0V,0.000E0V
3.703E-7sec,0.000E0V,0.000E0V
3.713E-7sec,0.000E0V,0.000E0V
3.723E-7sec,0.000E0V,0.000E0V
3.733E-7sec,0.000E0V,0.000E0V
3.743E-7sec,0.000E0V,0.000E0V
3.753E-7sec,0.000E0V,0.000E0V
3.763E-7sec,0.000E0V,0.000E0V
3.773E-7sec,0.000E0V,0.000E0V
3.783E-7sec,0.000E0V,0.000E0V
3.793E-7sec,0.000E0V,0.000E0V
3.803E-7sec,0.000E0V,0.000E0V
3.813E-7sec,0.000E0V,0.000E0V
3.823E-7sec,0.000E0V,0.000E0V
3.833E-7sec,0.000E0V,0.000E0V
3.843E-7sec,0.000E0V,0.000E0V
3.853E-7sec,0.000E0V,0.000E0V
3.863E-7sec,0.000E0V,0.000E0V
3.873E-7sec,0.000E0V,0.000E0V
3.883E-7sec,0.000E0V,0.000E0V
3.893E-7sec,0.000E0V,0.000E0V
3.903E-7sec,0.000E0V,0.000E0V
3.913E-7sec,0.000E0V,0.000E0V
3.923E-7sec,0.000E0V,0.000E0V
3.933E-7sec,0.000E0V,0.000E0V
3.943E-7sec,0.000E0V,0.000E0V
3.953E-7sec,0.000E0V,0.000E0V
3.963E-7sec,0.000E0V,0.000E0V
3.973E-7sec,0.000E0V,0.000E0V
3.983E-7sec,0.000E0V,0.000E0V
3.993E-7sec,0.000E0V,0.000E0V
4.003E-7sec,0.000E0V,0.000E0V
4.013E-7sec,0.000E0V,0.000E0V
4.023E-7sec,0.000E0V,0.000E0V
4.033E-7sec,0.000E0V,0.000E0V
4.043E-7sec,0.000E0V,0.000E0V
4.053E-7sec,0.000E0V,0.000E0V
4.063E-7sec,0.000E0V,0.000E0V
4.073E-7sec,0.000E0V,0.000E0V
4.083E-7sec,0.000E0V,0.000E0V
4.093E-7sec,0.000E0V,0.000E0V
4.103E-7sec,0.000E0V,0.000E0V
4.113E-7sec,0.000E0V,0.000E0V
4.123E-7sec,0.000E0V,0.000E0V
4.133E-7sec,0.000E0V,0.000E0V
4.143E-7sec,0.000E0V,0.000E0V
4.153E-7sec,0.000E0V,0.000E0V
4.163E-7sec,0.000E0V,0.000E0V
4.173E-7sec,0.000E0V,0.000E0V
4.183E-7sec,0.000E0V,0.000E0V
4.193E-7sec,0.000E0V,0.000E0V
4.203E-7sec,0.000E0V,0.000E0V
4.213E-7sec,0.000E0V,0.000E0V
4.223E-7sec,0.000E0V,0.000E0V
4.233E-7sec,0.000E0V,0.000E0V
4.243E-7sec,0.000E0V,0.000E0V
4.253E-7sec,0.000E0V,0.000E0V
4.263E-7sec,0.000E0V,0.000E0V
4.273E-7sec,0.000E0V,0.000E0V
4.283E-7sec,0.000E0V,0.000E0V
4.293E-7sec,0.000E0V,0.000E0V
4.303E-7sec,0.000E0V,0.000E0V
4.313E-7sec,0.000E0V,0.000E0V
4.323E-7sec,0.000E0V,0.000E0V
4.333E-7sec,0.000E0V,0.000E0V
4.343E-7sec,0.000E0V,0.000E0V
4.353E-7sec,0.000E0V,0.000E0V
4.363E-7sec,0.000E0V,0.000E0V
4.373E-7sec,0.000E0V,0.000E0V
4.383E-7sec,0.000E0V,0.000E0V
4.393E-7sec,0.000E0V,0.000E0V
4.403E-7sec,0.000E0V,0.000E0V
4.413E-7sec,0.000E0V,0.000E0V
4.423E-7sec,0.000E0V,0.000E0V
4.433E-7sec,0.000E0V,0.000E0V
4.443E-7sec,0.000E0V,0.000E0V
4.453E-7sec,0.000E0V,0.000E0V
4.463E-7sec,0.000E0V,0.000E0V
4.473E-7sec,0.000E0V,0.000E0V
4.483E-7sec,0.000E0V,0.000E0V
4.493E-7sec,0.000E0V,0.000E0V
4.503E-7sec,0.000E0V,0.000E0V
4.513E-7sec,0.000E0V,0.000E0V
4.523E-7sec,0.000E0V,0.000E0V
4.533E-7sec,0.000E0V,0.000E0V
4.543E-7sec,0.000E0V,0.000E0V
4.553E-7sec,0.000E0V,0.000E0V
4.563E-7sec,0.000E0V,0.000E0V
4.573E-7sec,0.000E0V,0.000E0V
4.583E-7sec,0.000E0V,0.000E0V
4.593E-7sec,0.000E0V,0.000E0V
4.603E-7sec,0.000E0V,0.000E0V
4.613E-7sec,0.000E0V,0.000E0V
4.623E-7sec,0.000E0V,0.000E0V
4.633E-7sec,0.000E0V,0.000E0V
4.643E-7sec,0.000E0V,0.000E0V
4.653E-7sec,0.000E0V,0.000E0V
4.663E-7sec,0.000E0V,0.000E0V
4.673E-7sec,0.000E0V,0.000E0V
4.683E-7sec,0.000E0V,0.000E0V
4.693E-7sec,0.000E0V,0.000E0V
4.703E-7sec,0.000E0V,0.000E0V
4.713E-7sec,0.000E0V,0.000E0V
4.723E-7sec,0.000E0V,0.000E0V
4.733E-7sec,0.000E0V,0.000E0V
4.743E-7sec,0.000E0V,0.000E0V
4.753E-7sec,0.000E0V,0.000E0V
4.763E-7sec,0.000E0V,0.000E0V
4.773E-7sec,0.000E0V,0.000E0V
4.783E-7sec,0.000E0V,0.000E0V
4.793E-7sec,0.000E0V,0.000E0V
4.803E-7sec,0.000E0V,0.000E0V
4.813E-7sec,0.000E0V,0.000E0V
4.823E-7sec,0.000E0V,0.000E0V
4.833E-7sec,0.000E0V,0.000E0V
4.843E-7sec,0.000E0V,0.000E0V
4.853E-7sec,0.000E0V,0.000E0V
4.863E-7sec,0.000E0V,0.000E0V
4.873E-7sec,0.000E0V,0.000E0V
4.883E-7sec,0.000E0V,0.000E0V
4.893E-7sec,0.000E0V,0.000E0V
4.903E-7sec,0.000E0V,0.000E0V
4.913E-7sec,0.000E0V,0.000E0V
4.923E-7sec,0.000E0V,0.000E0V
4.933E-7sec,0.000E0V,0.000E0V
4.943E-7sec,0.000E0V,0.000E0V
4.953E-7sec,0.000E0V,0.000E0V
4.963E-7sec,0.000E0V,0.000E0V
4.973E-7sec,0.000E0V,0.000E0V
4.983E-7sec,0.000E0V,0.000E0V
4.993E-7sec,0.000E0V,0.000E0V
5.003E-7sec,0.000E0V,0.000E0V
5.013E-7sec,0.000E0V,0.000E0V
5.023E-7sec,0.000E0V,0.000E0V
5.033E-7sec,0.000E0V,0.000E0V
5.043E-7sec,0.000E0V,0.000E0V
5.053E-7sec,0.000E0V,0.000E0V
5.063E-7sec,0.000E0V,0.000E0V
5.073E-7sec,0.000E0V,0.000E0V
5.083E-7sec,0.000E0V,0.000E0V
5.093E-7sec,0.000E0V,0.000E0V
5.103E-7sec,0.000E0V,0.000E0V
5.113E-7sec,0.000E0V,0.000E0V
5.123E-7sec,0.000E0V,0.000E0V
5.133E-7sec,0.000E0V,0.000E0V
5.143E-7sec,0.000E0V,0.000E0V
5.153E-7sec,0.000E0V,0.000E0V
5.163E-7sec,0.000E0V,0.000E0V
5.173E-7sec,0.000E0V,0.000E0V
5.183E-7sec,0.000E0V,0.000E0V
5.193E-7sec,0.000E0V,0.000E0V
5.203E-7sec,0.000E0V,0.000E0V
5.213E-7sec,0.000E0V,0.000E0V
5.223E-7sec,0.000E0V,0.000E0V
5.233E-7sec,0.000E0V,0.000E0V
5.243E-7sec,0.000E0V,0.000E0V
5.253E-7sec,0.000E0V,0.000E0V
5.263E-7sec,0.000E0V,0.000E0V
5.273E-7sec,0.000E0V,0.000E0V
5.283E-7sec,0.000E0V,0.000E0V
5.293E-7sec,0.000E0V,0.000E0V
5.303E-7sec,0.000E0V,0.000E0V
5.313E-7sec,0.000E0V,0.000E0V
5.323E-7sec,0.000E0V,0.000E0V
5.333E-7sec,0.000E0V,0.000E0V
5.343E-7sec,0.000E0V,0.000E0V
5.353E-7sec,0.000E0V,0.000E0V
5.363E-7sec,0.000E0V,0.000E0V
5.373E-7sec,0.000E0V,0.000E0V
5.383E-7sec,0.000E0V,0.000E0V
5.393E-7sec,0.000E0V,0.000E0V
5.403E-7sec,0.000E0V,0.000E0V
5.413E-7sec,0.000E0V,0.000E0V
5.423E-7sec,0.000E0V,0.000E0V
5.433E-7sec,0.000E0V,0.000E0V
5.443E-7sec,0.000E0V,0.000E0V
5.453E-7sec,0.000E0V,0.000E0V
5.463E-7sec,0.000E0V,0.000E0V
5.473E-7sec,0.000E0V,0.000E0V
5.483E-7sec,0.000E0V,0.000E0V
5.493E-7sec,0.000E0V,0.000E0V
5.503E-7sec,0.000E0V,0.000E0V
5.513E-7sec,0.000E0V,0.000E0V
5.523E-7sec,0.000E0V,0.000E0V
5.533E-7sec,0.000E0V,0.000E0V
5.543E-7sec,0.000E0V,0.000E0V
5.553E-7sec,0.000E0V,0.000E0V
5.563E-7sec,0.000E0V,0.000E0V
5.573E-7sec,0.000E0V,0.000E0V
5.583E-7sec,0.000E0V,0.000E0V
5.593E-7sec,0.000E0V,0.000E0V
5.603E-7sec,0.000E0V,0.000E0V
5.613E-7sec,0.000E0V,0.000E0V
5.623E-7sec,0.000E0V,0.000E0V
5.633E-7sec,0.000E0V,0.000E0V
5.643E-7sec,0.000E0V,0.000E0V
5.653E-7sec,0.000E0V,0.000E0V
5.663E-7sec,0.000E0V,0.000E0V
5.673E-7sec,0.000E0V,0.000E0V
5.683E-7sec,0.000E0V,0.000E0V
5.693E-7sec,0.000E0V,0.000E0V
5.703E-7sec,0.000E0V,0.000E0V
5.713E-7sec,0.000E0V,0.000E0V
5.723E-7sec,0.000E0V,0.000E0V
5.733E-7sec,0.000E0V,0.000E0V
5.743E-7sec,0.000E0V,0.000E0V
5.753E-7sec,0.000E0V,0.000E0V
5.763E-7sec,0.000E0V,0.000E0V
5.773E-7sec,0.000E0V,0.000E0V
5.783E-7sec,0.000E0V,0.000E0V
5.793E-7sec,0.000E0V,0.000E0V
5.803E-7sec,0.000E0V,0.000E0V
5.813E-7sec,0.000E0V,0.000E0V
5.823E-7sec,0.000E0V,0.000E0V
5.833E-7sec,0.000E0V,0.000E0V
5.843E-7sec,0.000E0V,0.000E0V
5.853E-7sec,0.000E0V,0.000E0V
5.863E-7sec,0.000E0V,0.000E0V
5.873E-7sec,0.000E0V,0.000E0V
5.883E-7sec,0.000E0V,0.000E0V
5.893E-7sec,0.000E0V,0.000E0V
5.903E-7sec,0.000E0V,0.000E0V
5.913E-7sec,0.000E0V,0.000E0V
5.923E-7sec,0.000E0V,0.000E0V
5.933E-7sec,0.000E0V,0.000E0V
5.943E-7sec,0.000E0V,0.000E0V
5.953E-7sec,0.000E0V,0.000E0V
5.963E-7sec,0.000E0V,0.000E0V
5.973E-7sec,0.000E0V,0.000E0V
5.983E-7sec,0.000E0V,0.000E0V
5.993E-7sec,0.000E0V,0.000E0V
6.003E-7sec,0.000E0V,0.000E0V
